id_critere;intitule;url_img;ce_parent;
1;'morpho:morphologie';'';'null';
2;'plante';'';1;
3;'arbre';'';1;
4;'fougère';'';1;
5;'arbuste';'';1;
6;'morpho:type_fleur';'';'null';
7;'labiée';'';6;
8;'minuscule';'';6;
9;'spores';'';6;
10;'ombelle';'';6;
11;'épi';'';6;
12;'pissenlit';'';6;
13;'morpho:couleur_fleur';'';'null';
14;'blanche';'';13;
15;'verte';'';13;
16;'marron';'';13;
17;'rose';'';13;
18;'jaune';'';13;
19;'rouge';'';13;
20;'morpho:forme_feuille';'';'null';
21;'découpée';'';20;
22;'lobée';'';20;
23;'entière';'';20;
24;'pheno:mois_feuillaison_debut';'';'null';
25;'3';'';24;
26;'1';'';24;
27;'4';'';24;
28;'7';'';24;
29;'6';'';24;
30;'pheno:mois_feuillaison_fin';'';'null';
31;'10';'';30;
32;'12';'';30;
33;'4';'';30;
34;'8';'';30;
35;'7';'';30;
36;'pheno:mois_floraison_debut';'';'null';
37;'4';'';36;
38;'11';'';36;
39;'6';'';36;
40;'7';'';36;
41;'5';'';36;
42;'pheno:mois_floraison_fin';'';'null';
43;'5';'';42;
44;'3';'';42;
45;'9';'';42;
46;'10';'';42;
47;'4';'';42;
48;'8';'';42;
49;'6';'';42;
50;'7';'';42;
51;'pheno:mois_fructification_debut';'';'null';
52;'5';'';51;
53;'2';'';51;
54;'7';'';51;
55;'9';'';51;
56;'10';'';51;
57;'6';'';51;
58;'8';'';51;
59;'pheno:mois_fructification_fin';'';'null';
60;'9';'';59;
61;'6';'';59;
62;'10';'';59;
63;'11';'';59;
64;'8';'';59;
65;'7';'';59;
66;'parcours:Lez';'';'null';
67;'1';'';66;
69;'parcours:Aqueduc';'';'null';
71;'1';'';69;
72;'parcours:Champ de Mars';'';'null';
74;'1';'';72;
